LAYER,MAP_NAME,<span_styl,<span_sty1,<span_sty2,<span_sty3,<span_sty4,<span_sty5,<span_sty6,Average,<span_sty8,<span_sty9,<span_st10,CLOSED,BORDER_STY,BORDER_COL,BORDER_WID,FILL_STYLE,Table_No,Module_No,Latitude,Longitude,Min_Temp,Max_Temp,photo,filename,directory,altitude,direction,rotation,longitude_,latitude_2,timestamp,n,distance,feature_x,feature_y,nearest_x,nearest_y
Unknown Area Type,Broken_Glass (1).kml,BLOCK-1,B1/T183,"(10, 8)",Broken_Glass,Physical Damage or Open Circuit. High Temperature difference compared to other panels,-15.51291,28.43579,40.6,32.13,50.97,<img src= https://datasee-ai-public-assets.s3.ap-south-1.amazonaws.com/2k23/AT/Bangweulu_Power_Plant/images/BLOCK-1/28_43579_-15_51291_Broken_Glass.jpg>,YES,Solid,"RGB(0,0,0)",1,No Fill,B1/T183,"(10, 8)",-15.51555892,28.43578522,32.13,50.97,E:\AT\Zambia_RGB\DJI_20231016100404_0076_W.JPG,DJI_20231016100404_0076_W,E:\AT\Zambia_RGB,1372.03,,0,28.43578833,-15.51554494,04:04.0,1,1.234012274,653995.8308,-1715866.309,653995.8297,-1715865.075
Unknown Area Type,Broken_Glass (1).kml,BLOCK-1,B1/T151,"(10, 12)",Broken_Glass,Physical Damage or Open Circuit. High Temperature difference compared to other panels,-15.5131,28.43447,43.36,36.02,47.98,<img src= https://datasee-ai-public-assets.s3.ap-south-1.amazonaws.com/2k23/AT/Bangweulu_Power_Plant/images/BLOCK-1/28_43447_-15_51310_Broken_Glass.jpg>,YES,Solid,"RGB(0,0,0)",1,No Fill,B1/T151,"(10, 12)",-15.51574222,28.43445936,36.02,47.98,E:\AT\Zambia_RGB\DJI_20231016105044_0565_W.JPG,DJI_20231016105044_0565_W,E:\AT\Zambia_RGB,1371.91,,0,28.43447239,-15.51574739,50:44.0,1,0.829398322,653853.7288,-1715886.255,653854.5123,-1715886.528
Unknown Area Type,Broken_Glass (1).kml,BLOCK-1,B1/T72,"(3, 4)",Broken_Glass,Physical Damage or Open Circuit. High Temperature difference compared to other panels,-15.51373,28.43593,41.23,29.12,44.84,<img src= https://datasee-ai-public-assets.s3.ap-south-1.amazonaws.com/2k23/AT/Bangweulu_Power_Plant/images/BLOCK-1/28_43593_-15_51373_Broken_Glass.jpg>,YES,Solid,"RGB(0,0,0)",1,No Fill,B1/T72,"(3, 4)",-15.51637907,28.43591747,29.12,44.84,E:\AT\Zambia_RGB\DJI_20231017141208_0148_W.JPG,DJI_20231017141208_0148_W,E:\AT\Zambia_RGB,1390.63,,0,28.43590675,-15.51635567,12:08.0,1,2.346307435,654008.4533,-1715957.146,654007.9314,-1715954.858
Unknown Area Type,Broken_Glass (1).kml,BLOCK-1,B1/T11,"(1, 7)",Broken_Glass,Physical Damage or Open Circuit. High Temperature difference compared to other panels,-15.51416,28.43425,41.71,30.15,46.19,<img src= https://datasee-ai-public-assets.s3.ap-south-1.amazonaws.com/2k23/AT/Bangweulu_Power_Plant/images/BLOCK-1/28_43425_-15_51416_Broken_Glass.jpg>,YES,Solid,"RGB(0,0,0)",1,No Fill,B1/T11,"(1, 7)",-15.5168099,28.43423895,30.15,46.19,E:\AT\Zambia_RGB\DJI_20231018135141_0211_W.JPG,DJI_20231018135141_0211_W,E:\AT\Zambia_RGB,1371.86,,0,28.43423136,-15.51681508,51:41.0,1,0.330805143,653828.0726,-1716004.226,653827.865,-1716004.483
Unknown Area Type,Broken_Glass (1).kml,BLOCK-1,B1/T11,"(2, 5)",Broken_Glass,Physical Damage or Open Circuit. High Temperature difference compared to other panels,-15.51417,28.43423,43.54,35.28,54.49,<img src= https://datasee-ai-public-assets.s3.ap-south-1.amazonaws.com/2k23/AT/Bangweulu_Power_Plant/images/BLOCK-1/28_43423_-15_51417_Broken_Glass.jpg>,YES,Solid,"RGB(0,0,0)",1,No Fill,B1/T11,"(2, 5)",-15.51681567,28.43421624,35.28,54.49,E:\AT\Zambia_RGB\DJI_20231018135139_0210_W.JPG,DJI_20231018135139_0210_W,E:\AT\Zambia_RGB,1371.91,,0,28.43420447,-15.51681569,51:39.0,1,0.651925185,653825.632,-1716004.531,653824.9801,-1716004.532
Unknown Area Type,Broken_Glass (1).kml,BLOCK-1,B1/T11,"(5, 5)",Broken_Glass,Physical Damage or Open Circuit. High Temperature difference compared to other panels,-15.51419,28.43423,43.42,34.12,60.9,<img src= https://datasee-ai-public-assets.s3.ap-south-1.amazonaws.com/2k23/AT/Bangweulu_Power_Plant/images/BLOCK-1/28_43423_-15_51419_Broken_Glass.jpg>,YES,Solid,"RGB(0,0,0)",1,No Fill,B1/T11,"(5, 5)",-15.51683246,28.43421637,34.12,60.9,E:\AT\Zambia_RGB\DJI_20231018135139_0210_W.JPG,DJI_20231018135139_0210_W,E:\AT\Zambia_RGB,1371.91,,0,28.43420447,-15.51681569,51:39.0,1,1.686009842,653825.6332,-1716006.086,653824.9801,-1716004.532
Unknown Area Type,Broken_Glass (1).kml,BLOCK-1,B1/T11,"(7, 5)",Broken_Glass,Physical Damage or Open Circuit. High Temperature difference compared to other panels,-15.5142,28.43423,43.37,31.58,58.9,<img src= https://datasee-ai-public-assets.s3.ap-south-1.amazonaws.com/2k23/AT/Bangweulu_Power_Plant/images/BLOCK-1/28_43423_-15_51420_Broken_Glass.jpg>,YES,Solid,"RGB(0,0,0)",1,No Fill,B1/T11,"(7, 5)",-15.51684366,28.43421645,31.58,58.9,E:\AT\Zambia_RGB\DJI_20231018135614_0348_W.JPG,DJI_20231018135614_0348_W,E:\AT\Zambia_RGB,1371.87,,0,28.43422044,-15.51686592,56:14.0,1,2.156375624,653826.6545,-1716007.943,653826.6562,-1716010.1
Unknown Area Type,Broken_Glass (1).kml,BLOCK-1,B1/T11,"(10, 4)",Broken_Glass,Physical Damage or Open Circuit. High Temperature difference compared to other panels,-15.51421,28.43421,42.44,33.67,63.38,<img src= https://datasee-ai-public-assets.s3.ap-south-1.amazonaws.com/2k23/AT/Bangweulu_Power_Plant/images/BLOCK-1/28_43421_-15_51421_Broken_Glass.jpg>,YES,Solid,"RGB(0,0,0)",1,No Fill,B1/T11,"(10, 4)",-15.51686053,28.43420521,33.67,63.38,E:\AT\Zambia_RGB\DJI_20231018135616_0349_W.JPG,DJI_20231018135616_0349_W,E:\AT\Zambia_RGB,1371.86,,0,28.43419225,-15.51686561,56:16.0,1,0.82053275,653824.4159,-1716009.803,653823.6319,-1716010.046
Unknown Area Type,Broken_Glass (1).kml,BLOCK-1,B1/T11,"(12, 5)",Broken_Glass,Physical Damage or Open Circuit. High Temperature difference compared to other panels,-15.51422,28.43422,38.51,26.75,46.34,<img src= https://datasee-ai-public-assets.s3.ap-south-1.amazonaws.com/2k23/AT/Bangweulu_Power_Plant/images/BLOCK-1/28_43422_-15_51422_Broken_Glass.jpg>,YES,Solid,"RGB(0,0,0)",1,No Fill,B1/T11,"(12, 5)",-15.51687165,28.43421667,26.75,46.34,E:\AT\Zambia_RGB\DJI_20231018135614_0348_W.JPG,DJI_20231018135614_0348_W,E:\AT\Zambia_RGB,1371.87,,0,28.43422044,-15.51686592,56:14.0,1,0.321185741,653826.6565,-1716010.421,653826.6562,-1716010.1
Unknown Area Type,Broken_Glass (1).kml,BLOCK-1,B1/T11,"(12, 4)",Broken_Glass,Physical Damage or Open Circuit. High Temperature difference compared to other panels,-15.51422,28.43421,37.89,27.44,44.17,<img src= https://datasee-ai-public-assets.s3.ap-south-1.amazonaws.com/2k23/AT/Bangweulu_Power_Plant/images/BLOCK-1/28_43421_-15_51422_Broken_Glass.jpg>,YES,Solid,"RGB(0,0,0)",1,No Fill,B1/T11,"(12, 4)",-15.51687173,28.4342053,27.44,44.17,E:\AT\Zambia_RGB\DJI_20231018135616_0349_W.JPG,DJI_20231018135616_0349_W,E:\AT\Zambia_RGB,1371.86,,0,28.43419225,-15.51686561,56:16.0,1,0.870381325,653824.4164,-1716010.423,653823.6319,-1716010.046
Unknown Area Type,Broken_Glass (1).kml,BLOCK-1,B1/T11,"(6, 10)",Broken_Glass,Physical Damage or Open Circuit. High Temperature difference compared to other panels,-15.51419,28.43428,40.03,30.77,45.07,<img src= https://datasee-ai-public-assets.s3.ap-south-1.amazonaws.com/2k23/AT/Bangweulu_Power_Plant/images/BLOCK-1/28_43428_-15_51419_Broken_Glass.jpg>,YES,Solid,"RGB(0,0,0)",1,No Fill,B1/T11,"(6, 10)",-15.51683764,28.43427329,30.77,45.07,E:\AT\Zambia_RGB\DJI_20231018135143_0212_W.JPG,DJI_20231018135143_0212_W,E:\AT\Zambia_RGB,1371.85,,0,28.43426069,-15.51681433,51:43.0,1,2.391044932,653831.7359,-1716006.7,653831.0122,-1716004.422
